sentence,intensity,sentiment
And my grandfather made everyone open a bank account with Bank of India..,-0.10000000149011612,Negative
I just downloaded the app and it took me only 5 minutes to create an account immediately I...Read More.,0.6000000238418579,Positive
I mostly use paytm for recharge and for shopping.Paytm is really very easy to use and its relaible.Flag This ReviewIrrelevantFakeJunk   Thank You!.,0.8999999761581421,Positive
Hello friends today I am going to give my feedback on kotak 811 and mobile banking app..,0.20000000298023224,Positive
PAYTM app is most Popular app For UPI Transaction and CashbackIt's Easy to Use and Safe for you.OkFlag This ReviewIrrelevantFakeJunk   Thank You!.,0.8999999761581421,Positive
When am trying to get it.. (please suggest me if you have any idea)..,0.0,Positive
"I have an account in state bank since past 7 years and I have received a very good service from them.i have a fixed deposit in this bank and they provide very good interest rates on it.i also have a sbi debit and credit card which I often use for shopping online and other purposes., .they give good reward points on the credit card too.and overall the service in the state bank is also very organised, staff are very good and helpful.overall I can rely on state bank of india completely.Flag This ReviewIrrelevantFakeJunk   Thank You!.",0.8999999761581421,Positive
Coz I easly pay my bill .my banking..,0.699999988079071,Positive
And take corrective actions.One more thing.try to get work done within given deadline and stop harassing common people.Flag This ReviewIrrelevantFakeJunk   Thank You!.,-0.6000000238418579,Negative
"But Why I Dont Like It.Guys I Am Tried To Open Kotak 811 Account, And They are, The Kotak 811 Website Showing ' Kotak Bank Not In Your Area'.So 50% of people Facing Thia Problem..",-0.8000000119209291,Negative
Paytm kyc center is not available in our location..,-0.8000000119209291,Negative
"They would keep on charging you endlessly, without caring for you and despite your requests and even if the matter's under dispute they would still not bother and keep adding interests and late fee charges.Flag This ReviewIrrelevantFakeJunk   Thank You!.",-0.699999988079071,Negative
BOI brances is existing in all over the country and its a nationalized bank..,0.10000000149011612,Positive
This is the Absolute WORST Bank EVER!.,-0.8000000119209291,Negative
GOOD APP BUT NEEDS TO FIND A WAY TO STOP FAKE TRANSACTIONS BY WHICH MANY BUSINESSES ARE GETTING AFFECTED ARE SUFFERING IN LOSS NOT ONLY THE BUSINESS BUT ALSO THE PEOPLE WHO USE THEM FOR THEIR PERSONAL USE ALSO.A PERSON COMES AND SAYS THAT HE IS NOT HAVING CASH AND ASKS U TO GIVE HIM CASH AND HE WILL GIVE U IN PAYTM HE SHOWS YOU THE TRANSACTIONS MESSAGE BUT THE PAYMENT IS NEVER RECEIVED.Flag This ReviewIrrelevantFakeJunk   Thank You!.,-0.699999988079071,Negative
It's not for middle class and lower financial situation persons..,-0.5,Negative
"'.So this kacra bank has only 1 reply to all queries and it is very poor in all departmentsGuys, 2 banks got me all things in 6-7 days..",-0.8000000119209291,Negative
We can esely find many ATMs in about all places..,0.5,Positive
In every city bank and ATM are available..,0.6000000238418579,Positive
And now I want to do online transactions so I tried to register for internet banking through online but I was unable to do it..,-0.699999988079071,Negative
"As SBI uses Easy Pin for its app, it uses Paytm Passcode for entering to account..",-0.5,Negative
Use it.Thanks for reading this review.Flag This ReviewIrrelevantFakeJunk   Thank You!.,0.8999999761581421,Positive
"I am using it and it is best for transaction, paybill and recharge etc",0.8000000119209291,Positive
"the ATM service of this bank a little bit good but they creating many issues to provide internet banking to us filling form and submit in bank, submit the acknowledgment in the bank etc..",-0.4000000059604645,Negative
Paytm payment bank gives Debit card too..,0.5,Positive
For Business I have to go to the Branch 2-3 times in a week..,-0.6000000238418579,Negative
"I am using paytm e-wallet for my every transactions like mobile recharge, dth bill payments, electricity bill payments etc..",0.10000000149011612,Positive
I am having some online dollars payment and I cannot use sbi atm to validate that..,-0.699999988079071,Negative
This app has UPI feature so you can add other bank account ...Read More.,0.6000000238418579,Positive
There was no electrical supply to the bank..,-0.8000000119209291,Negative
"body and the rates are comparable.7-Their rate of interest are comparable to all other banks, nobody is going to have a loss by keeping money here8-The service is quite fast, I got cheque book at my address within 2 days of giving my application9-They also have service of private lockersFlag This ReviewIrrelevantFakeJunk   Thank You!.",0.8999999761581421,Positive
"Hello friends,Today I am share my personal experience towards BANK OF INDIA .So lets start,I want to inform that bank is of india is very good bank because it is provided many facilities to customer like that phone banking and mobile banking services to fund transfer from own  account to other account , mobile or DTH recharge , light or water bill payment  etc.I am using this bank services from long time and no problem arises at that time because  its bank atm services present in any locality and customer care service is very nice .For your confirmation , I am able to check my  account balance and mini statement to call  and you will check your account balance and mini statement  to call in this numbers.To,Check account balance -09015135135Mini statement -09810558585 by sms code.Many people call this number so this server is poor but you can continue call in this number so you will success.Thank you for reading..",0.0,Positive
State bank of India all employees is very very good service provided to all us..,0.8000000119209291,Positive
So I opened my account in 2016 and I needed a credit card urgently..,-0.4000000059604645,Negative
The customer service is the worst..,-0.8000000119209291,Negative
Guys dont open account in sbkFlag This ReviewIrrelevantFakeJunk   Thank You!.,-0.4000000059604645,Negative
I am using paytm since the demonetization has taken place..,0.0,Positive
"I am a customer of SBI, as I hold a savings account..",0.0,Positive
Paytm is India most trusted company and he lounch paytm payment bank and paytm Instant open bank account with aadher otp full paper less bank account zero balance instant bank account without visiting any branch insta and I and India trust paytm and free upi transactions and free dabit card without any cost I like paytm serviceFlag This ReviewIrrelevantFakeJunk   Thank You!.,0.8000000119209291,Positive
They don't care customer and specially their times..,-0.8000000119209291,Negative
I  also could not tell you about it's customer service because I haven't used it yet.Flag This ReviewIrrelevantFakeJunk   Thank You!.,0.10000000149011612,Positive
"Of all Grameen Vikash banks in India, BGVB is the worst functioning bank..",-0.8000000119209291,Negative
"I have bank account with Bank Of India since 4 years, in my student life, this account was idle, had hardly any transactions in bank..",-0.6000000238418579,Negative
The service provided to folks is the worst..,-0.8000000119209291,Negative
It is very bad..,-0.8999999761581421,Negative
I was make the online payment to third party and its failed than I called many times to Bank of India customer service they are not giving any proper information they always asked my account number and than after they are saying we did not have any information..,-0.699999988079071,Negative
Interest rate is ok with Paytm Payments Bank which is about 4% whereas Airtel Payment Bank provide 7% of Interest rate..,0.0,Positive
"7% interest, zero ATM charges & 24x7 virtual assistance, only with digibank..",0.0,Positive
"One of the most helpful app booming all over the country.Demonitisation had made our economy decreased by 1% and from that time every one started usind paytm.In every single shop almost we can find paytm and because of this we don't eve have to stabd in many social lines like electricity, water bill, cineplex, shoping online almost everywhere can be used.Nine of us ever thought of this technology that would capture the whole country and also gives discounts.This is Digitalisation.Flag This ReviewIrrelevantFakeJunk   Thank You!.",0.8999999761581421,Positive
Its ATM centers are very less..,-0.5,Negative
It is not stable when there is no gave phone number is not there..,-0.699999988079071,Negative
Our nightmare started when my mother wished to get that money..,-0.8000000119209291,Negative
I do the same and got message of refund..,-0.6000000238418579,Negative
Paytm is used many people and it is very useful whenever you have your wallet and on the shop the paytm wallet can be used by completing 1 easy step is to complete  KYC and to complete KYC you will need aadhar card if not there you will need driving licence if it is also not there you will other documents like pan card etcFlag This ReviewIrrelevantFakeJunk   Thank You!.,0.8999999761581421,Positive
"I called the bank , and nobody was giving a clear answer for getting the money back.Finally, I went to the bank and submitted one form to return the money..",-0.8000000119209291,Negative
Layout is also easily understandable..,0.8999999761581421,Positive
Last 20 Feb 2018 while adding upi Id rs 17000 transfer to wrong ID.till now I don't know about the person..,-0.5,Negative
